date,state,cases,deaths
3/1/20,Florida,2,0
3/1/20,Illinois,3,0
3/1/20,Massachusetts,1,0
3/1/20,Texas,11,0
3/2/20,Florida,2,0
3/2/20,Georgia,2,0
3/2/20,Illinois,4,0
3/2/20,Massachusetts,2,0
3/2/20,Texas,11,0
3/3/20,Florida,3,0
3/3/20,Georgia,2,0
3/3/20,Illinois,4,0
3/3/20,Massachusetts,2,0
3/3/20,Texas,11,0
3/4/20,Florida,3,0
3/4/20,Georgia,2,0
3/4/20,Illinois,4,0
3/4/20,Massachusetts,2,0
3/4/20,Texas,12,0
3/5/20,Colorado,2,0
3/5/20,Florida,4,0
3/5/20,Georgia,2,0
3/5/20,Illinois,5,0
3/5/20,Massachusetts,3,0
3/5/20,Texas,16,0
3/6/20,Colorado,8,0
3/6/20,Florida,7,2
3/6/20,Georgia,3,0
3/6/20,Illinois,6,0
3/6/20,Indiana,1,0
3/6/20,Massachusetts,8,0
3/6/20,Pennsylvania,2,0
3/6/20,Texas,19,0
3/7/20,Colorado,8,0
3/7/20,Florida,12,2
3/7/20,Georgia,7,0
3/7/20,Illinois,6,0
3/7/20,Indiana,1,0
3/7/20,Massachusetts,13,0
3/7/20,Pennsylvania,4,0
3/7/20,Texas,19,0
3/8/20,Colorado,8,0
3/8/20,Connecticut,1,0
3/8/20,Florida,13,2
3/8/20,Georgia,11,0
3/8/20,Illinois,7,0
3/8/20,Indiana,2,0
3/8/20,Massachusetts,28,0
3/8/20,Pennsylvania,6,0
3/8/20,Texas,23,0
3/9/20,Colorado,12,0
3/9/20,Connecticut,2,0
3/9/20,Florida,14,2
3/9/20,Georgia,17,0
3/9/20,Illinois,11,0
3/9/20,Indiana,4,0
3/9/20,Massachusetts,41,0
3/9/20,Ohio,3,0
3/9/20,Pennsylvania,10,0
3/9/20,Texas,24,0
3/10/20,Colorado,17,0
3/10/20,Connecticut,2,0
3/10/20,Florida,23,2
3/10/20,Georgia,22,0
3/10/20,Illinois,19,0
3/10/20,Indiana,6,0
3/10/20,Massachusetts,92,0
3/10/20,Ohio,3,0
3/10/20,Pennsylvania,12,0
3/10/20,Texas,31,0
3/11/20,Colorado,34,0
3/11/20,Connecticut,3,0
3/11/20,Florida,26,2
3/11/20,Georgia,31,0
3/11/20,Illinois,25,0
3/11/20,Indiana,11,0
3/11/20,Massachusetts,95,0
3/11/20,Ohio,4,0
3/11/20,Pennsylvania,16,0
3/11/20,Texas,33,0
3/12/20,Colorado,49,1
3/12/20,Connecticut,6,0
3/12/20,Florida,46,2
3/12/20,Georgia,31,1
3/12/20,Illinois,32,0
3/12/20,Indiana,12,0
3/12/20,Massachusetts,108,0
3/12/20,Ohio,5,0
3/12/20,Pennsylvania,22,0
3/12/20,Texas,41,0
3/13/20,Colorado,78,2
3/13/20,Connecticut,11,0
3/13/20,Florida,70,2
3/13/20,Georgia,41,1
3/13/20,Illinois,46,0
3/13/20,Indiana,12,0
3/13/20,Massachusetts,123,0
3/13/20,Ohio,13,0
3/13/20,Pennsylvania,41,0
3/13/20,Texas,58,0
3/14/20,Colorado,103,2
3/14/20,Connecticut,20,0
3/14/20,Florida,70,3
3/14/20,Georgia,65,1
3/14/20,Illinois,66,0
3/14/20,Indiana,15,0
3/14/20,Massachusetts,138,0
3/14/20,Ohio,26,0
3/14/20,Pennsylvania,47,0
3/14/20,Texas,69,0
3/15/20,Colorado,136,2
3/15/20,Connecticut,26,0
3/15/20,Florida,109,3
3/15/20,Georgia,97,1
3/15/20,Illinois,94,0
3/15/20,Indiana,19,0
3/15/20,Massachusetts,164,0
3/15/20,Ohio,37,0
3/15/20,Pennsylvania,68,0
3/15/20,Texas,80,0
3/16/20,Colorado,161,2
3/16/20,Connecticut,41,0
3/16/20,Florida,141,4
3/16/20,Georgia,118,1
3/16/20,Illinois,104,0
3/16/20,Indiana,24,1
3/16/20,Massachusetts,197,0
3/16/20,Ohio,50,0
3/16/20,Pennsylvania,81,0
3/16/20,Texas,87,1
3/17/20,Colorado,183,3
3/17/20,Connecticut,68,0
3/17/20,Florida,210,6
3/17/20,Georgia,142,1
3/17/20,Illinois,159,1
3/17/20,Indiana,30,2
3/17/20,Massachusetts,218,0
3/17/20,Ohio,67,0
3/17/20,Pennsylvania,101,0
3/17/20,Texas,106,1
3/18/20,Colorado,216,3
3/18/20,Connecticut,96,1
3/18/20,Florida,326,7
3/18/20,Georgia,193,3
3/18/20,Illinois,286,1
3/18/20,Indiana,39,2
3/18/20,Massachusetts,256,0
3/18/20,Ohio,90,0
3/18/20,Pennsylvania,139,1
3/18/20,Texas,166,2
3/19/20,Colorado,278,5
3/19/20,Connecticut,159,4
3/19/20,Florida,434,8
3/19/20,Georgia,282,10
3/19/20,Illinois,420,4
3/19/20,Indiana,56,2
3/19/20,Massachusetts,328,0
3/19/20,Ohio,120,0
3/19/20,Pennsylvania,187,1
3/19/20,Texas,248,4
3/20/20,Colorado,364,5
3/20/20,Connecticut,194,4
3/20/20,Florida,564,9
3/20/20,Georgia,482,14
3/20/20,Illinois,583,5
3/20/20,Indiana,79,3
3/20/20,Massachusetts,413,1
3/20/20,Ohio,169,1
3/20/20,Pennsylvania,269,1
3/20/20,Texas,377,5
3/21/20,Colorado,475,6
3/21/20,Connecticut,223,5
3/21/20,Florida,764,11
3/21/20,Georgia,552,20
3/21/20,Illinois,751,6
3/21/20,Indiana,126,4
3/21/20,Massachusetts,525,2
3/21/20,Ohio,247,3
3/21/20,Pennsylvania,388,2
3/21/20,Texas,547,5
3/22/20,Colorado,591,7
3/22/20,Connecticut,327,8
3/22/20,Florida,1000,13
3/22/20,Georgia,620,25
3/22/20,Illinois,1047,9
3/22/20,Indiana,201,6
3/22/20,Massachusetts,646,5
3/22/20,Ohio,351,3
3/22/20,Pennsylvania,504,3
3/22/20,Texas,632,7
3/23/20,Colorado,721,10
3/23/20,Connecticut,415,10
3/23/20,Florida,1222,18
3/23/20,Georgia,800,25
3/23/20,Illinois,1285,12
3/23/20,Indiana,259,7
3/23/20,Massachusetts,777,5
3/23/20,Ohio,444,6
3/23/20,Pennsylvania,644,6
3/23/20,Texas,728,7
3/24/20,Colorado,912,11
3/24/20,Connecticut,618,12
3/24/20,Florida,1467,19
3/24/20,Georgia,1097,38
3/24/20,Illinois,1535,16
3/24/20,Indiana,366,12
3/24/20,Massachusetts,1159,11
3/24/20,Ohio,564,8
3/24/20,Pennsylvania,851,7
3/24/20,Texas,857,11
3/25/20,Colorado,1086,19
3/25/20,Connecticut,875,19
3/25/20,Florida,1965,23
3/25/20,Georgia,1387,47
3/25/20,Illinois,1875,21
3/25/20,Indiana,479,14
3/25/20,Massachusetts,1838,15
3/25/20,Ohio,706,11
3/25/20,Pennsylvania,1151,11
3/25/20,Texas,1119,12
3/26/20,Colorado,1432,24
3/26/20,Connecticut,1012,21
3/26/20,Florida,2477,29
3/26/20,Georgia,1643,56
3/26/20,Illinois,2538,26
3/26/20,Indiana,656,18
3/26/20,Massachusetts,2417,25
3/26/20,Ohio,867,15
3/26/20,Pennsylvania,1690,16
3/26/20,Texas,1543,21
3/27/20,Colorado,1735,31
3/27/20,Connecticut,1291,27
3/27/20,Florida,3198,46
3/27/20,Georgia,2198,64
3/27/20,Illinois,3029,37
3/27/20,Indiana,982,26
3/27/20,Massachusetts,3240,35
3/27/20,Ohio,1144,22
3/27/20,Pennsylvania,2218,23
3/27/20,Texas,1942,23
3/28/20,Colorado,2061,44
3/28/20,Connecticut,1524,33
3/28/20,Florida,4038,56
3/28/20,Georgia,2447,79
3/28/20,Illinois,3547,50
3/28/20,Indiana,1232,31
3/28/20,Massachusetts,4257,44
3/28/20,Ohio,1406,25
3/28/20,Pennsylvania,2815,35
3/28/20,Texas,2161,29
3/29/20,Colorado,2315,47
3/29/20,Connecticut,1993,34
3/29/20,Florida,4942,59
3/29/20,Georgia,2683,83
3/29/20,Illinois,4613,70
3/29/20,Indiana,1514,32
3/29/20,Massachusetts,4955,48
3/29/20,Ohio,1665,30
3/29/20,Pennsylvania,3441,40
3/29/20,Texas,2712,35
3/30/20,Colorado,2628,51
3/30/20,Connecticut,2571,36
3/30/20,Florida,5694,71
3/30/20,Georgia,3032,102
3/30/20,Illinois,5070,84
3/30/20,Indiana,1788,35
3/30/20,Massachusetts,5752,61
3/30/20,Ohio,1933,40
3/30/20,Pennsylvania,4156,48
3/30/20,Texas,3043,46
3/31/20,Colorado,2990,69
3/31/20,Connecticut,3128,69
3/31/20,Florida,6741,85
3/31/20,Georgia,4117,125
3/31/20,Illinois,5994,107
3/31/20,Indiana,2159,50
3/31/20,Massachusetts,6620,89
3/31/20,Ohio,2199,55
3/31/20,Pennsylvania,4997,72
3/31/20,Texas,3576,57
4/1/20,Colorado,3346,80
4/1/20,Connecticut,3557,85
4/1/20,Florida,7765,100
4/1/20,Georgia,4748,154
4/1/20,Illinois,6980,146
4/1/20,Indiana,2565,65
4/1/20,Massachusetts,7738,122
4/1/20,Ohio,2547,65
4/1/20,Pennsylvania,5805,74
4/1/20,Texas,4261,63
4/2/20,Colorado,3728,96
4/2/20,Connecticut,3824,112
4/2/20,Florida,9000,144
4/2/20,Georgia,5444,176
4/2/20,Illinois,7695,165
4/2/20,Indiana,3039,78
4/2/20,Massachusetts,8966,154
4/2/20,Ohio,2902,81
4/2/20,Pennsylvania,7016,90
4/2/20,Texas,4880,79
4/3/20,Colorado,4182,110
4/3/20,Connecticut,4915,132
4/3/20,Florida,10260,169
4/3/20,Georgia,5967,198
4/3/20,Illinois,8904,211
4/3/20,Indiana,3437,102
4/3/20,Massachusetts,10402,192
4/3/20,Ohio,3312,91
4/3/20,Pennsylvania,8420,102
4/3/20,Texas,5669,97
4/4/20,Colorado,4574,126
4/4/20,Connecticut,5276,165
4/4/20,Florida,11537,194
4/4/20,Georgia,6383,208
4/4/20,Illinois,10357,248
4/4/20,Indiana,3953,116
4/4/20,Massachusetts,11736,216
4/4/20,Ohio,3739,102
4/4/20,Pennsylvania,10109,139
4/4/20,Texas,6566,124
4/5/20,Colorado,4950,140
4/5/20,Connecticut,5675,189
4/5/20,Florida,12342,220
4/5/20,Georgia,6742,219
4/5/20,Illinois,11276,282
4/5/20,Indiana,4411,127
4/5/20,Massachusetts,12500,231
4/5/20,Ohio,4043,119
4/5/20,Pennsylvania,11589,159
4/5/20,Texas,7094,137
4/6/20,Colorado,5172,150
4/6/20,Connecticut,6906,206
4/6/20,Florida,13621,253
4/6/20,Georgia,7558,294
4/6/20,Illinois,12262,309
4/6/20,Indiana,4956,141
4/6/20,Massachusetts,13837,260
4/6/20,Ohio,4450,142
4/6/20,Pennsylvania,13074,169
4/6/20,Texas,8115,160
