date,state,cases,deaths
3/1/20,Nebraska,13,0
3/1/20,Utah,1,0
3/2/20,Nebraska,13,0
3/2/20,New Hampshire,1,0
3/2/20,Utah,1,0
3/3/20,Nebraska,13,0
3/3/20,New Hampshire,2,0
3/3/20,Utah,1,0
3/4/20,Nebraska,13,0
3/4/20,New Hampshire,2,0
3/4/20,Utah,1,0
3/5/20,Nebraska,13,0
3/5/20,New Hampshire,2,0
3/5/20,Utah,1,0
3/6/20,Hawaii,1,0
3/6/20,Nebraska,14,0
3/6/20,New Hampshire,2,0
3/6/20,Utah,3,0
3/7/20,District of Columbia,1,0
3/7/20,Hawaii,1,0
3/7/20,Kansas,1,0
3/7/20,Nebraska,14,0
3/7/20,New Hampshire,4,0
3/7/20,Utah,3,0
3/7/20,Vermont,1,0
3/8/20,District of Columbia,1,0
3/8/20,Hawaii,2,0
3/8/20,Iowa,3,0
3/8/20,Kansas,1,0
3/8/20,Nebraska,16,0
3/8/20,New Hampshire,4,0
3/8/20,Utah,3,0
3/8/20,Vermont,1,0
3/9/20,District of Columbia,4,0
3/9/20,Hawaii,2,0
3/9/20,Iowa,8,0
3/9/20,Kansas,1,0
3/9/20,Nebraska,16,0
3/9/20,New Hampshire,4,0
3/9/20,Utah,3,0
3/9/20,Vermont,1,0
3/10/20,District of Columbia,4,0
3/10/20,Hawaii,2,0
3/10/20,Iowa,13,0
3/10/20,Kansas,1,0
3/10/20,Nebraska,17,0
3/10/20,New Hampshire,5,0
3/10/20,South Dakota,5,1
3/10/20,Utah,4,0
3/10/20,Vermont,1,0
3/11/20,Arkansas,1,0
3/11/20,Delaware,1,0
3/11/20,District of Columbia,10,0
3/11/20,Hawaii,2,0
3/11/20,Iowa,14,0
3/11/20,Kansas,1,0
3/11/20,Nebraska,23,0
3/11/20,New Hampshire,5,0
3/11/20,New Mexico,4,0
3/11/20,North Dakota,1,0
3/11/20,South Dakota,8,1
3/11/20,Utah,5,0
3/11/20,Vermont,2,0
3/11/20,Wyoming,1,0
3/12/20,Alaska,1,0
3/12/20,Arkansas,6,0
3/12/20,Delaware,4,0
3/12/20,District of Columbia,10,0
3/12/20,Hawaii,2,0
3/12/20,Iowa,16,0
3/12/20,Kansas,5,1
3/12/20,Maine,1,0
3/12/20,Nebraska,24,0
3/12/20,New Hampshire,6,0
3/12/20,New Mexico,6,0
3/12/20,North Dakota,1,0
3/12/20,South Dakota,8,1
3/12/20,Utah,7,0
3/12/20,Vermont,2,0
3/12/20,Wyoming,1,0
3/13/20,Alaska,1,0
3/13/20,Arkansas,7,0
3/13/20,Delaware,4,0
3/13/20,District of Columbia,10,0
3/13/20,Hawaii,2,0
3/13/20,Idaho,1,0
3/13/20,Iowa,17,0
3/13/20,Kansas,6,1
3/13/20,Maine,2,0
3/13/20,Montana,4,0
3/13/20,Nebraska,27,0
3/13/20,New Hampshire,7,0
3/13/20,New Mexico,10,0
3/13/20,North Dakota,1,0
3/13/20,Puerto Rico,3,0
3/13/20,South Dakota,9,1
3/13/20,Utah,7,0
3/13/20,Vermont,2,0
3/13/20,Wyoming,2,0
3/14/20,Alaska,1,0
3/14/20,Arkansas,9,0
3/14/20,Delaware,4,0
3/14/20,District of Columbia,16,0
3/14/20,Hawaii,4,0
3/14/20,Idaho,5,0
3/14/20,Iowa,18,0
3/14/20,Kansas,8,1
3/14/20,Maine,3,0
3/14/20,Montana,6,0
3/14/20,Nebraska,29,0
3/14/20,New Hampshire,7,0
3/14/20,New Mexico,13,0
3/14/20,North Dakota,1,0
3/14/20,Puerto Rico,4,0
3/14/20,South Dakota,9,1
